689607a406bb32955676113d|170339|813|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676113e|170339|817|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676113f|170339|820|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761140|170339|824|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761141|170339|826|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761142|170339|831|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761143|170339|834|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761144|170339|839|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761145|170339|842|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761146|170339|843|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761147|170339|860|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761148|170339|862|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761149|170339|870|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676114a|170339|871|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676114b|170339|879|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676114c|170339|893|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676114d|170339|897|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676114e|170339|904|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb32955676114f|170339|905|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761150|170339|907|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761151|170339|915|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761152|170339|938|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761153|170339|940|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761154|170339|950|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761155|170339|951|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761156|170339|970|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761157|170339|978|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761158|170339|983|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
689607a406bb329556761159|170339|987|0.5|{"SS0001":0.5}|{"SS0001":0.08,"xx01":0}|2025-08-08 22:20:20
